은행명(1),ⓐ지로코드(2),지로코드 수정,특/광/도(9),구/시/군(10),구/읍/면/동(11),도로명(19),건물번호 등(20),결합주소_temp,결합주소,depth_1,depth_2,depth_3,From_금결
우리은행,209856,0209856,경기,분당,수내동,황새울로200번길,09월 07일,경기 분당 황새울로200번길,경기 분당 황새울로200번길 44811,NAN,NAN,NAN,경기도　성남시　분당구　수내용２１－２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,209966,0209966,서울,강남구,개포동,개포로82길,09월 13일,서울 강남구 개포로82길,서울 강남구 개포로82길 44817,서울,강남구,개포동,서울특별시　강남구　개포로　５０４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,841272,0841272,경기,오산,원동,경기도대로,187,경기 오산 경기도대로,경기 오산 경기도대로 187,경기,오산시,원동,경기　오산시　원동　７６８－１　우경씨이트　２동　２０１호　　　　　　　　　　　　　　　　　　　　　
우리은행,842284,0842284,서울,강서구,염창동,양천로57길,583,서울 강서구 양천로57길,서울 강서구 양천로57길 583,서울,강서구,염창동,서울특별시　강서구　양천로　５８３，　Ａ동　１１０호　（염창동，　우림블루나인비지니스센터）　　　　
우리은행,842475,0842475,경기,분당,야탑동,야탑남로,230,경기 분당 야탑남로,경기 분당 야탑남로 230,서울,노원구,공릉동,서울특별시　노원구　화랑로　６２１，종합교육관　（공릉동）　　　　　　　　　　　　　　　　　　　　　
우리은행,842488,0842488,경북,구미,옥계동,산로대로31길,7,경북 구미 산로대로31길,경북 구미 산로대로31길 7,서울,노원구,공릉동,서울특별시　노원구　화랑로　６２１，종합교육관　（공릉동）　　　　　　　　　　　　　　　　　　　　　
우리은행,843283,0843283,인천,서구,연희동,라임로,51,인천 서구 라임로,인천 서구 라임로 51,인천,서구,연희동,인천　서구　연희동　８０１－１　청라지구　Ｍ３블럭　풍림엑슬　　　　　　　　　　　　　　　　　　　　
우리은행,843393,0843393,경기,고양,덕이동,하이파크로,Jan-78,경기 고양 하이파크로,경기 고양 하이파크로 28491,인천,연수구,송도동,인천　연수구　송도동　１６２－１　기숙사　Ｂ동１０５호　　　　　　　　　　　　　　　　　　　　　　　
우리은행,843513,0843513,경기,용인,보라동,한보라2로,05월 05일,경기 용인 한보라2로,경기 용인 한보라2로 44686,경기,용인시 수지구,상현동,경기도　용인시　수지구　광교중앙로　３２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,843597,0843597,충북,음성,맹동면,원중로,1404,충북 음성 원중로,충북 음성 원중로 1404,충북,음성군,맹동면 두성리,충청북도　음성군　맹동면　대하２가길　３１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,844172,0844172,인천,서구,오류동,도로명미생성로,1,인천 서구 도로명미생성로,인천 서구 도로명미생성로 1,경기,안산시 단원구,원곡동,경기　안산시　단원구　원곡동　７８９－５　지상２층　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,844321,0844321,경기,성남,성남동,성남대로2번길,1130,경기 성남 성남대로2번길,경기 성남 성남대로2번길 1130,경기,성남시 중원구,성남동,경기도　성남시　중원구　성남대로１１３０번길　３　（성남동，　백성빌딩）　　　　　　　　　　　　　　
우리은행,844800,0844800,충남,천안,차암동,3공단6로,May-58,충남 천안 3공단6로,충남 천안 3공단6로 21306,서울,송파구,신천동,서울　송파구　신천동　７－１３　향군회관　Ｂ동　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,844826,0844826,경기,파주,문산읍,문향로,Jan-52,경기 파주 문향로,경기 파주 문향로 18994,경기,화성시,산척동,경기도　화성시　동탄순환대로　１２７－１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,845016,0845016,경기,남양주,와부읍,수레로,888,경기 남양주 수레로,경기 남양주 수레로 888,경기,성남시 분당구,삼평동,경기　성남시　분당구　삼평동　６３２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,845029,0845029,서울,송파구,장지동,위례광장로,300,서울 송파구 위례광장로,서울 송파구 위례광장로 300,경기,성남시 수정구,창곡동,경기　성남시　수정구　위례광장로　３００　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,845391,0845391,제주,제주,이도2동,중앙로,.,제주 제주 중앙로,제주 제주 중앙로 .,경기,평택시,서정동,경기　평택시　관광특구로　１　국민건강보험공단평택지사　６층　　　　　　　　　　　　　　　　　　　　
SC제일은행,231507,0231507,서울특별시,동대문구,청량리동,흥릉로,3,서울특별시 동대문구 흥릉로,서울특별시 동대문구 흥릉로 3,서울,동대문구,청량리동,서울　동대문구　청량리동　７４４외　１층　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
SC제일은행,231882,0231882,서울특별시,성동구,마장동,마장로,76,서울특별시 성동구 마장로,서울특별시 성동구 마장로 76,서울,성동구,마장동,서울시　성동구　마장동　８１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
