은행명(1),ⓐ지로코드(2),특/광/도(9),구/시/군(10),구/읍/면/동(11),도로명(19),건물번호 등(20),결합주소_temp,결합주소,depth_1,depth_2,depth_3
SC제일은행,234384,서울특별시,강남구,역삼동,테헤란로,151,서울특별시 강남구 테헤란로,서울특별시 강남구 테헤란로 151,서울,강남구,역삼동
SC제일은행,234407,서울특별시,서초구,서초동,강남대로,251,서울특별시 서초구 강남대로,서울특별시 서초구 강남대로 251,서울,서초구,서초동
SC제일은행,234423,서울특별시,강남구,압구정동,압구정로29길,68,서울특별시 강남구 압구정로29길,서울특별시 강남구 압구정로29길 68,서울,강남구,압구정동
SC제일은행,234436,서울특별시,강남구,대치동,도곡로,438,서울특별시 강남구 도곡로,서울특별시 강남구 도곡로 438,서울,강남구,대치동
SC제일은행,234520,서울특별시,강동구,명일동,동남로73길,26,서울특별시 강동구 동남로73길,서울특별시 강동구 동남로73길 26,서울,강동구,명일동
SC제일은행,234591,서울특별시,영등포구,여의도동,국제금융로,106,서울특별시 영등포구 국제금융로,서울특별시 영등포구 국제금융로 106,서울,영등포구,여의도동
SC제일은행,234795,경기도,화성시,우정읍,기아자동차로,95,경기도 화성시 기아자동차로,경기도 화성시 기아자동차로 95,경기,화성시,우정읍 매향리
SC제일은행,234805,인천광역시,연수구,송도동,해돋이로,106,인천광역시 연수구 해돋이로,인천광역시 연수구 해돋이로 106,인천,연수구,송도동
SC제일은행,235008,부산광역시,중구,중앙동3가,대청로,135,부산광역시 중구 대청로,부산광역시 중구 대청로 135,부산,중구,중앙동3가
SC제일은행,235011,부산광역시,중구,창선동2가,중구로,01월 16일,부산광역시 중구 중구로,부산광역시 중구 중구로 44577,NAN,NAN,NAN
SC제일은행,235037,부산광역시,동구,범일동,자성로133번길,50,부산광역시 동구 자성로133번길,부산광역시 동구 자성로133번길 50,부산,동구,범일동
SC제일은행,235040,부산광역시,부산진구,부전2동,중앙대로,708,부산광역시 부산진구 중앙대로,부산광역시 부산진구 중앙대로 708,부산,부산진구,부전동
SC제일은행,235053,부산광역시,동구,초량동,중앙대로,176,부산광역시 동구 중앙대로,부산광역시 동구 중앙대로 176,부산,동구,초량동
