,지점_start,지점_end,도로명주소_start,도로명주소_end,x,x_start,y,y_start,Distance
135,분당지점,포항지점,경기도 성남시 분당구 서현로 200,경상북도 포항시 북구 중흥로 156,127.1249586,129.3546405,37.38740829,36.01797875,310.74
136,분당지점,광주지점,경기도 성남시 분당구 서현로 200,광주광역시 광산구 무진대로 261,127.1249586,126.8092081,37.38740829,35.16199943,274.48
137,분당지점,성서지점,경기도 성남시 분당구 서현로 200,대구광역시 달서구 성서공단로 114,127.1249586,128.4949641,37.38740829,35.83476311,262.99
138,분당지점,대전지점,경기도 성남시 분당구 서현로 200,대전광역시 서구 둔산서로 137,127.1249586,127.3826237,37.38740829,36.35904398,142.1
139,분당지점,금정지점,경기도 성남시 분당구 서현로 200,부산광역시 금정구 중앙대로 1817,127.1249586,129.0923715,37.38740829,35.24639845,370.94
140,분당지점,부산지점,경기도 성남시 분당구 서현로 200,부산광역시 중구 대청로 136,127.1249586,129.0348391,37.38740829,35.10253882,380.52
141,분당지점,울산지점,경기도 성남시 분당구 서현로 200,울산광역시 남구 봉월로 56,127.1249586,129.3059942,37.38740829,35.53740246,350.98
142,분당지점,인천지점,경기도 성남시 분당구 서현로 200,인천광역시 남동구 미래로 42,127.1249586,126.7058206,37.38740829,37.4537728,48.1
143,분당지점,목포지점,경기도 성남시 분당구 서현로 200,전라남도 목포시 백년대로 306,127.1249586,126.4213459,37.38740829,34.80389635,328.39
144,분당지점,여수지점,경기도 성남시 분당구 서현로 200,전라남도 여수시 시청로 30,127.1249586,127.6633572,37.38740829,34.76415187,325.75
145,분당지점,전주지점,경기도 성남시 분당구 서현로 200,전라북도 전주시 완산구 전라감영5길 18,127.1249586,127.1465154,37.38740829,35.81716888,193.99
146,분당지점,천안지점,경기도 성남시 분당구 서현로 200,충청남도 천안시 동남구 만남로 82,127.1249586,127.1609907,37.38740829,36.81998939,70.34
147,분당지점,청주지점,경기도 성남시 분당구 서현로 200,충청북도 청주시 상당구 성안로 16,127.1249586,127.4888613,37.38740829,36.63539888,115.26
148,분당지점,충주지점,경기도 성남시 분당구 서현로 200,충청북도 충주시 계명대로 195,127.1249586,127.9362604,37.38740829,36.98265729,108.9
149,분당지점,금천지점,경기도 성남시 분당구 서현로 200,서울특별시 금천구 시흥대로 488,127.1249586,126.8992088,37.38740829,37.47707814,26.69
150,분당지점,노원지점,경기도 성남시 분당구 서현로 200,서울특별시 노원구 노해로 467,127.1249586,127.0597507,37.38740829,37.65444779,39.0
151,분당지점,도곡지점,경기도 성남시 분당구 서현로 200,서울특별시 강남구 남부순환로 2803,127.1249586,127.0515051,37.38740829,37.48960302,14.94
152,분당지점,마포지점,경기도 성남시 분당구 서현로 200,서울특별시 마포구 양화로 127,127.1249586,126.9204976,37.38740829,37.55488152,33.43
153,분당지점,서초지점,경기도 성남시 분당구 서현로 200,서울특별시 서초구 서초대로78길 5,127.1249586,127.0273743,37.38740829,37.49725882,16.31
154,분당지점,압구정지점,경기도 성남시 분당구 서현로 200,서울특별시 강남구 논현로 878,127.1249586,127.0289521,37.38740829,37.52709141,20.81
155,분당지점,여의도지점,경기도 성남시 분당구 서현로 200,서울특별시 영등포구 의사당대로 97,127.1249586,126.924586,37.38740829,37.52251614,28.79
156,분당지점,잠실지점,경기도 성남시 분당구 서현로 200,서울특별시 송파구 올림픽로 289,127.1249586,127.1025221,37.38740829,37.51461528,16.1
157,분당지점,종로지점,경기도 성남시 분당구 서현로 200,서울특별시 종로구 율곡로 6,127.1249586,126.9797758,37.38740829,37.57545386,26.24
158,분당지점,본점 영업부,경기도 성남시 분당구 서현로 200,서울특별시 영등포구 은행로 14,127.1249586,126.920832,37.38740829,37.5271224,29.29
159,분당지점,본점,경기도 성남시 분당구 서현로 200,서울특별시 영등포구 은행로 14,127.1249586,126.920832,37.38740829,37.5271224,29.29
160,분당지점,김해지점,경기도 성남시 분당구 서현로 200,경상남도 김해시 경원로73번길 15,127.1249586,128.868143,37.38740829,35.2383534,361.69
161,분당지점,당진지점,경기도 성남시 분당구 서현로 200,충청남도 당진시 당진중앙2로 211-15,127.1249586,126.6345834,37.38740829,36.89736949,97.97
162,분당지점,한티지점,경기도 성남시 분당구 서현로 200,서울특별시 강남구 도곡로 408,127.1249586,127.0552332,37.38740829,37.49662252,16.17
163,분당지점,김포지점,경기도 성남시 분당구 서현로 200,경기도 김포시 중봉로 15,127.1249586,126.6969501,37.38740829,37.62369751,54.85
164,분당지점,용인지점,경기도 성남시 분당구 서현로 200,경기도 용인시 기흥구 동백중앙로 269,127.1249586,127.1530514,37.38740829,37.27670083,15.1
165,분당지점,반포지점,경기도 성남시 분당구 서현로 200,서울특별시 서초구 반포대로 287,127.1249586,127.0008092,37.38740829,37.50439895,18.67
166,분당지점,가산지점,경기도 성남시 분당구 서현로 200,서울특별시 금천구 가산디지털1로 128,127.1249586,126.8836952,37.38740829,37.47723652,38.56
167,분당지점,원주지점,경기도 성남시 분당구 서현로 200,강원도 원주시 건강로 1,127.1249586,127.9861066,37.38740829,37.32721002,91.74
