고객명,관리부점명,본사주소,"기업
공개",회계 감사의견,"기업
규모",기준연월,당행_기준년도,당행_직전년도,당행_직직전년도,기준년도,매출액_기준년도,매출액_직전년도,매출액_직직전년도,영업이익_기준년도,영업이익_직전년도,영업이익_직직전년도,당기순이익_기준년도,당기순이익_직전년도,당기순이익_직직전년도,depth_1,depth_2,depth_3,x,y
(주)성호금속경주2공장,포항지점,경북 경주시 천북면 천북산단로2길 70,외감,적정,대기업,202205,"3,000 ","3,000 ","3,000 ",2021,"53,667 ","47,476 ","49,422 ",17 ,"1,736 ","2,413 ",47 ,"1,038 ","1,834 ",경북,경주시,천북면 오야리,129.274941423341,35.9368091389274
황남빵(최상은),포항지점,경북 경주시 태종로 783,개인,,중소기업,202205,"5,726 ","5,726 ","5,850 ",2021,0 ,"8,221 ","10,848 ",0 ,"1,716 ","2,578 ",0 ,424 ,"1,699 ",경북,경주시,황오동,129.213690441388,35.8408710452003
(주)코아시스템,포항지점,경북 포항시 남구 연일읍 철강로107번길 46,일반,,중소기업,202205,300 ,300 ,300 ,2021,"13,421 ","10,080 ","8,459 ",65 ,119 ,195 ,280 ,201 ,142 ,경북,포항시 남구,연일읍 오천리,129.356152219567,35.9931517550225
(주)한울티아이에스,포항지점,경북 포항시 북구 법원로111번길 25-3,일반,,중소기업,202205,917 ,285 ,607 ,2021,"3,238 ","2,983 ","3,560 ",2 ,93 ,131 ,13 ,93 ,113 ,경북,포항시 북구,장성동,129.382848873157,36.0846770217377
람세스물류(주),포항지점,"서울 강서구 양천로 401, 에이505,506,507,508,509,510호",외감,적정,대기업,202205,"11,000 ","6,000 ","4,000 ",2021,"302,337 ","163,467 ","117,455 ","17,035 ","3,973 ","1,255 ","15,445 ","2,308 ","1,019 ",NAN,NAN,NAN,NAN,NAN
(주)동양테크,포항지점,경북 경주시 강동면 강동산단로 60,일반,,대기업,202205,"1,820 ","1,670 ","2,575 ",2021,"14,329 ","13,183 ","14,396 ",631 ,611 ,868 ,811 ,788 ,922 ,경북,경주시,강동면 왕신리,129.311849485359,35.9572768925215
비케이에너지(주),포항지점,부산 동구 중앙대로 348,외감,적정,중소기업,202205,"4,000 ","4,000 ","3,482 ",2021,"94,863 ","87,343 ","103,139 ","1,334 ","1,738 ","1,785 ","1,817 ","1,256 ","2,715 ",부산,동구,초량동,129.047204034012,35.1264818481279
(주)성호리싸이클링,포항지점,경북 경주시 천북면 천북산단로2길 89-51,일반,,중소기업,202205,"4,523 ","5,153 ","5,650 ",2021,"11,822 ","3,772 ","4,956 ",662 ,92 ,-256 ,781 ,26 ,-184 ,경북,경주시,천북면 화산리,129.27820851576,35.9358138713978
(주)에어릭스,포항지점,경북 포항시 남구 대송면 철강산단로66번길 10,외감,적정,중소기업,202205,"1,000 ","1,000 ","1,000 ",2021,"90,083 ","77,850 ","82,467 ","2,100 ","2,197 ","3,806 ","2,953 ","1,819 ","2,498 ",경북,포항시 남구,대송면 대각리,129.368269146652,35.959026629978
(주)롤앤롤,포항지점,경북 포항시 남구 효성로 62,외감,적정,중소기업,202205,400 ,400 ,400 ,2021,"24,163 ","22,485 ","22,755 ",-115 ,-61 ,205 ,83 ,44 ,167 ,경북,포항시 남구,효자동,129.340370173379,36.0058577000665
(주)에스아이건설,포항지점,경북 포항시 북구 포스코대로 260,일반,,중소기업,202205,0 ,0 ,0 ,2021,"8,117 ","15,021 ","14,347 ",209 ,610 ,374 ,494 ,520 ,600 ,경북,포항시 북구,죽도동,129.352958820257,36.0213011269028
(주)성호철강,포항지점,경북 경주시 천북면 천북산단로 199-31,외감,적정,중소기업,202205,950 ,950 ,950 ,2021,"109,732 ","78,411 ","75,964 ","8,425 ","1,274 ","-3,923 ","8,225 ","1,035 ","-4,029 ",경북,경주시,천북면 오야리,129.265725868655,35.9450983006752
(주)금아고속관광앤경주시티투어,포항지점,경북 경주시 충현로 64,외감,적정,중소기업,202205,"2,017 ","2,589 ","2,689 ",2021,"1,961 ","5,040 ","5,589 ",-659 ,370 ,695 ,390 ,"-2,323 ",437 ,경북,경주시,충효동,129.169244919826,35.8499464749276
동일디앤엠(주),포항지점,경북 경주시 내남면 명계2길 51-24,외감,,중소기업,202205,"2,750 ","3,000 ","3,500 ",2021,"38,306 ","28,476 ","26,473 ",692 ,287 ,-12 ,"1,754 ",489 ,220 ,경북,경주시,내남면 명계리,129.233943704017,35.7259211585906
우평건설(주),포항지점,경북 포항시 북구 양덕로30번길 42-6,외감,적정,중소기업,202205,"7,000 ","7,546 ","7,000 ",2021,"47,938 ","32,619 ","58,819 ","3,726 ",930 ,"5,735 ","4,286 ","1,669 ","5,140 ",경북,포항시 북구,양덕동,129.406595159889,36.081051091246
광신석유(주),포항지점,부산 북구 백양대로 995,외감,적정,대기업,202205,"3,000 ",0 ,"5,000 ",2021,"199,003 ","142,730 ","238,767 ","2,926 ","2,043 ",919 ,"2,672 ","1,322 ",-491 ,부산,북구,구포동,128.993202570789,35.1944385102688
(주)삼원,포항지점,경북 경주시 외동읍 내외로 620-22,외감,적정,중소기업,202205,"1,000 ","1,000 ","1,000 ",2021,"90,508 ","82,597 ","82,975 ",613 ,160 ,607 ,493 ,222 ,486 ,경북,경주시,외동읍 제내리,129.270282672914,35.7154803727595
